Ticker,Company
1735.HK,Central New Energy Holding Group Limited
0425.HK,Minth Group Limited
1729.HK,Time Interconnect Technology Limited
3931.HK,"CALB Group Co., Ltd."
3360.HK,Far East Horizon Limited
2689.HK,Nine Dragons Paper (Holdings) Limited
2715.HK,"Estun Automation Co., Ltd"
3888.HK,Kingsoft Corporation Limited
0699.HK,Ningbo Joyson Electronic Corp.
2228.HK,XtalPi Holdings Limited
0220.HK,Uni-President China Holdings Ltd
0317.HK,CSSC Offshore & Marine Engineering (Group) Company Limited
3330.HK,Lingbao Gold Group Company Ltd.
0257.HK,China Everbright Environment Group Limited
0995.HK,Anhui Expressway Company Limited
2866.HK,"COSCO SHIPPING Development Co., Ltd."
0384.HK,China Gas Holdings Limited
1128.HK,"Wynn Macau, Limited"
0564.HK,ZCZL Industrial Technology Group Company Limited
2096.HK,Simcere Pharmaceutical Group Limited
2768.HK,"Qingdao Gon Technology Co., Ltd."
2225.HK,Jinhai Medical Technology Limited
1879.HK,"Shanghai Xizhi Technology Co., Ltd."
1081.HK,"Dajin Heavy Industry Co.,Ltd."
3858.HK,Jiaxin International Resources Investment Limited
9969.HK,InnoCare Pharma Limited
1882.HK,Haitian International Holdings Limited
0268.HK,Kingdee International Software Group Company Limited
2648.HK,"Anjoy Foods Group Co., Ltd."
1585.HK,Yadea Group Holdings Ltd.
3323.HK,China National Building Material Company Limited
2367.HK,"Giant Biogene Holding Co., Ltd."
3320.HK,China Resources Pharmaceutical Group Limited
0631.HK,Sany Heavy Equipment International Holdings Company Limited
2245.HK,"Lygend Resources & Technology Co., Ltd."
6186.HK,China Feihe Limited
0683.HK,Kerry Properties Limited
0867.HK,China Medical System Holdings Limited
0338.HK,Sinopec Shanghai Petrochemical Company Limited
0780.HK,Tongcheng Travel Holdings Limited
1788.HK,Guotai Junan International Holdings Limited
3696.HK,InSilico Medicine Cayman TopCo
6979.HK,ZJLD Group Inc
0956.HK,China Suntien Green Energy Corporation Limited
9896.HK,MINISO Group Holding Limited
0552.HK,China Communications Services Corporation Limited
1318.HK,"Mao Geping Cosmetics Co., Ltd."
9981.HK,"ShenZhen Woer Heat-Shrinkable Material Co.,Ltd."
6651.HK,"Beijing 51World Digital Twin Technology Co., Ltd."
1044.HK,Hengan International Group Company Limited
0696.HK,TravelSky Technology Limited
2889.HK,PATEO CONNECT Technology (Shanghai) Corporation
6865.HK,"Flat Glass Group Co., Ltd."
1797.HK,East Buy Holding Limited
6067.HK,"Shenzhen Senior Technology Material Co., Ltd."
2026.HK,Pony AI Inc.
0666.HK,"REPT BATTERO Energy Co., Ltd."
6810.HK,"Shanghai Sunmi Technology Co., Ltd."
