Ticker,Company
603588.SS,"Beijing GeoEnviron Engineering & Technology, Inc."
601128.SS,"Jiangsu Changshu Rural Commercial Bank Co., Ltd."
603119.SS,"Zhejiang Rongtai Electric Material Co.,Ltd."
600598.SS,Heilongjiang Agriculture Company Limited
688248.SS,"China Southern Power Grid Technology Co.,Ltd"
600566.SS,"Hubei Jumpcan Pharmaceutical Co., Ltd."
600956.SS,China Suntien Green Energy Corporation Limited
600126.SS,"Hang Zhou Iron & Steel Co.,Ltd."
600390.SS,Minmetals Capital Company Limited
600388.SS,"Zijin Longking Co., Ltd."
603730.SS,"Shanghai Daimay Automotive Interior Co., Ltd"
603596.SS,"Bethel Automotive Safety Systems Co., Ltd"
600166.SS,"Beiqi Foton Motor Co.,Ltd."
603160.SS,"Shenzhen Goodix Technology Co., Ltd."
601399.SS,"SINOMACH HEAVY EQUIPMENT GROUP CO.,LTD"
600100.SS,"Tsinghua Tongfang Co., Ltd."
603306.SS,"HMT (Xiamen) New Technical Materials Co., Ltd"
603407.SS,"Changyu Holding Group Co., Ltd."
600246.SS,"Vantone Neo Development Group Co., Ltd."
600977.SS,"China Film Industry Group Co., Ltd."
601666.SS,"Pingdingshan Tianan Coal. Mining Co., Ltd."
688475.SS,"Hangzhou EZVIZ Network Co., Ltd."
603678.SS,"Fujian Torch Electron Technology Co., Ltd."
600745.SS,"Wingtech Technology Co.,Ltd"
603885.SS,"Juneyao Airlines Co., Ltd"
601016.SS,"CECEP Wind-power Corporation Co.,Ltd."
603737.SS,"SKSHU Paint Co.,Ltd."
688403.SS,"Union Semiconductor (Hefei) Co., Ltd."
603301.SS,"Zhende Medical Co., Ltd."
